feature,lgb_gain,lgb_split
ctx_pct_from_52w_high,9706932512.296875,1622
pat_avg_profit2,4621483581.3984375,1358
ctx_pct_from_52w_low,3609914153.0,1819
mkt_fed_rate_level,2281108699.8984375,1886
mkt_yield_curve_10y2y,2175711908.0,1734
cal_day_of_year,1892175191.203125,1828
mkt_vix_level,1748554173.0,886
pat_data_years,1687676161.0,1834
mkt_fed_rate_direction,1414394673.0,1211
mkt_credit_spread,1304238191.0,1165
pat_direction,1251237001.3984375,678
cal_pe_year,950957516.0,868
pat_neighbor_avg_wr,850874481.0,673
ta_sma50_vs_sma200,618490382.0,882
pat_depth_utilization,614597143.0,351
mkt_spx_seasonal_ret,592493750.0,545
mkt_credit_spread_change_20d,374634188.0,331
pat_dir_x_mkt_trend,358648704.0,306
ta_trend_long,357307188.0,324
cal_month,355450629.0,184
mkt_sector_rotation,342800386.0,303
pat_pe_utilization,338627374.0,392
mkt_vix_term_structure,328278775.0,344
ta_price_vs_sma200,323897924.0,424
pat_deepest_pass,306560408.0,254
mkt_spy_roc_20,249078509.0,291
mkt_spx_seasonal_wr,226777235.0,274
pat_dir_x_sector_trend,201195341.0,343
pat_daysOut,189358596.8046875,138
pat_hit_last_year,170280048.0,235
pat_sharpe_ratio,147468820.0,167
mkt_adv_decl_ratio_10d,136793330.0,130
mkt_vix_percentile_60d,136396000.0,180
pat_depth_x_vix,124744230.5,167
pat_pe_deepest,111801788.0,147
mkt_spx_dir_alignment,109453814.0,99
pat_best_winrate,103632744.0,163
ta_trend_direction_match,97756386.8984375,115
pat_sharpness,91164011.0,104
mkt_spy_above_sma200,88884701.0,75
pat_quality_x_regime,84366610.0,98
pat_pre_slope,82023409.0,57
pat_pe_match,79810079.0,84
pat_consistency_std,66087085.0,157
pat_worst_winrate,64043424.0,72
pat_post_cliff,62932352.703125,74
mkt_breadth_momentum,61516311.0,97
pat_num_combos_qualifying,38225595.0,42
mkt_yield_curve_slope,34473439.0,35
pat_concurrent_count,33852217.703125,55
ta_rvol_20,25293139.0,45
mkt_vix_5d_change,20735849.0,29
pat_recent_vs_deep_sharpe,19234710.0,33
cal_week_of_month,6997402.0,21
pat_passes_recent_10,3621567.0,4
mkt_vix_regime_bucket,2449150.0,3
cal_is_opex_week,987650.0,3
pat_deepest_pass_capped30,539249.0,1
mkt_spx_seasonal_regime,0.0,0
